 Crustal model (free format) - Shuo Ma
 number of layers:
         400
 Parameters of the layers
 depth of layer top(km)   Vp(km/s)    Vs(km/s)    Rho(g/cm**3)    Qp     Qs
  0.18400E+01  0.47551E+01  0.28304E+01  0.27312E+01  0.10000E+04  0.10000E+04
  0.18600E+01  0.47653E+01  0.28365E+01  0.27318E+01  0.10000E+04  0.10000E+04
  0.18800E+01  0.47754E+01  0.28425E+01  0.27325E+01  0.10000E+04  0.10000E+04
  0.19000E+01  0.47854E+01  0.28485E+01  0.27331E+01  0.10000E+04  0.10000E+04
  0.19200E+01  0.47954E+01  0.28544E+01  0.27337E+01  0.10000E+04  0.10000E+04
  0.19400E+01  0.48052E+01  0.28603E+01  0.27343E+01  0.10000E+04  0.10000E+04
  0.19600E+01  0.48150E+01  0.28661E+01  0.27349E+01  0.10000E+04  0.10000E+04
  0.19800E+01  0.48247E+01  0.28719E+01  0.27355E+01  0.10000E+04  0.10000E+04
  0.20000E+01  0.48343E+01  0.28776E+01  0.27361E+01  0.10000E+04  0.10000E+04
  0.20200E+01  0.48439E+01  0.28833E+01  0.27366E+01  0.10000E+04  0.10000E+04
  0.20400E+01  0.48534E+01  0.28889E+01  0.27372E+01  0.10000E+04  0.10000E+04
  0.20600E+01  0.48628E+01  0.28945E+01  0.27378E+01  0.10000E+04  0.10000E+04
  0.20800E+01  0.48721E+01  0.29001E+01  0.27384E+01  0.10000E+04  0.10000E+04
  0.21000E+01  0.48813E+01  0.29056E+01  0.27389E+01  0.10000E+04  0.10000E+04
  0.21200E+01  0.48905E+01  0.29110E+01  0.27395E+01  0.10000E+04  0.10000E+04
  0.21400E+01  0.48996E+01  0.29165E+01  0.27400E+01  0.10000E+04  0.10000E+04
  0.21600E+01  0.49087E+01  0.29218E+01  0.27406E+01  0.10000E+04  0.10000E+04
  0.21800E+01  0.49177E+01  0.29272E+01  0.27412E+01  0.10000E+04  0.10000E+04
  0.22000E+01  0.49266E+01  0.29325E+01  0.27417E+01  0.10000E+04  0.10000E+04
  0.22200E+01  0.49354E+01  0.29378E+01  0.27422E+01  0.10000E+04  0.10000E+04
  0.22400E+01  0.49442E+01  0.29430E+01  0.27428E+01  0.10000E+04  0.10000E+04
  0.22600E+01  0.49530E+01  0.29482E+01  0.27433E+01  0.10000E+04  0.10000E+04
  0.22800E+01  0.49616E+01  0.29533E+01  0.27438E+01  0.10000E+04  0.10000E+04
  0.23000E+01  0.49702E+01  0.29585E+01  0.27444E+01  0.10000E+04  0.10000E+04
  0.23200E+01  0.49788E+01  0.29635E+01  0.27449E+01  0.10000E+04  0.10000E+04
  0.23400E+01  0.49872E+01  0.29686E+01  0.27454E+01  0.10000E+04  0.10000E+04
  0.23600E+01  0.49957E+01  0.29736E+01  0.27459E+01  0.10000E+04  0.10000E+04
  0.23800E+01  0.50040E+01  0.29786E+01  0.27464E+01  0.10000E+04  0.10000E+04
  0.24000E+01  0.50124E+01  0.29835E+01  0.27469E+01  0.10000E+04  0.10000E+04
  0.24200E+01  0.50206E+01  0.29885E+01  0.27474E+01  0.10000E+04  0.10000E+04
  0.24400E+01  0.50288E+01  0.29933E+01  0.27479E+01  0.10000E+04  0.10000E+04
  0.24600E+01  0.50370E+01  0.29982E+01  0.27484E+01  0.10000E+04  0.10000E+04
  0.24800E+01  0.50451E+01  0.30030E+01  0.27489E+01  0.10000E+04  0.10000E+04
  0.25000E+01  0.50531E+01  0.30078E+01  0.27494E+01  0.10000E+04  0.10000E+04
  0.25200E+01  0.50611E+01  0.30126E+01  0.27499E+01  0.10000E+04  0.10000E+04
  0.25400E+01  0.50691E+01  0.30173E+01  0.27504E+01  0.10000E+04  0.10000E+04
  0.25600E+01  0.50770E+01  0.30220E+01  0.27509E+01  0.10000E+04  0.10000E+04
  0.25800E+01  0.50848E+01  0.30267E+01  0.27514E+01  0.10000E+04  0.10000E+04
  0.26000E+01  0.50926E+01  0.30313E+01  0.27518E+01  0.10000E+04  0.10000E+04
  0.26200E+01  0.51004E+01  0.30359E+01  0.27523E+01  0.10000E+04  0.10000E+04
  0.26400E+01  0.51081E+01  0.30405E+01  0.27528E+01  0.10000E+04  0.10000E+04
  0.26600E+01  0.51157E+01  0.30451E+01  0.27533E+01  0.10000E+04  0.10000E+04
  0.26800E+01  0.51233E+01  0.30496E+01  0.27537E+01  0.10000E+04  0.10000E+04
  0.27000E+01  0.51309E+01  0.30541E+01  0.27542E+01  0.10000E+04  0.10000E+04
  0.27200E+01  0.51384E+01  0.30586E+01  0.27546E+01  0.10000E+04  0.10000E+04
  0.27400E+01  0.51459E+01  0.30630E+01  0.27551E+01  0.10000E+04  0.10000E+04
  0.27600E+01  0.51533E+01  0.30675E+01  0.27556E+01  0.10000E+04  0.10000E+04
  0.27800E+01  0.51607E+01  0.30718E+01  0.27560E+01  0.10000E+04  0.10000E+04
  0.28000E+01  0.51681E+01  0.30762E+01  0.27565E+01  0.10000E+04  0.10000E+04
  0.28200E+01  0.51754E+01  0.30806E+01  0.27569E+01  0.10000E+04  0.10000E+04
